STRINGCODE;CAS;KEGG;IAFMODEL;UMBBD;NAME
C(H2)(C(H2)(N[+1](C(H)(C(C(H)(C(O(C(H3)))(C(O(C(H3)))(C(H)(C(C(C(H)(C(H)(C(H)(C(C(){3,11}){1}))))<11>){5})))))<5>))<3>))<1>;None;C12188;None;None;Vasconine
C(H2)(C(H2)(N[+1](C(H)(C(C(H)(C(C(C(H)(C(C(C(H)(C(O(H))(C(H)(C(C(){3,11}){1}))))<11>){5})O(C(H2)(O(){7}))))<7>))<5>))<3>))<1>;81056;C12189;None;None;Ungeremine
C(H2)(C(H2)(N(C(H3))(C(H)(C(H)(C(H)(C(H2)(C(H)(C(){1,4}))O(C(O)(C(C(H)(C(O(H))(C(O(C(H3)))(C(H)(C(){5,9})))))<9>))))<5>)<4>)))<1>;6879-81-8;C12190;None;None;9-O-Demethylhomolycorine
C(H2)(C(H2)(N(C(H)(C(H2)(C(HO(C(H3)))(C(H)(C(H)(C(C(C(H)(C(C(C(H)(C(C(HO(H))(){3}){10})O(C(H2)(O(){12}))))<12>))<10>){1,4})))))<4>)<3>))<1>;None;C12191;None;None;ent-6beta-Hydroxybuphanisine
C(H2)(C(H2)(N(C(H)(C(H2)(C(HO(C(H3)))(C(H)(C(H)(C(C(C(H)(C(C(C(H)(C(C(HO(H))(){3}){10})O(C(H2)(O(){12}))))<12>))<10>){1,4})))))<4>)<3>))<1>;None;C12192;None;None;ent-6alpha-Hydroxybuphanisine
C(H2)(C(H2)(N(C(H2)(C(C(H)(C(C(C(H)(C(C(C(H)(C(H2)(C(HO(H))(C(H)(C(H)(){11})))){3})<11>{1}){5})O(C(H2)(O(){7}))))<7>))<5>))<3>))<1>;510-69-0;C12193;None;None;Vittatine
C(H2)(C(HO(H))(C(C(H)(C(H2)(C(HO(H))(C(H)(C(H)(){3})))N(C(H2)(C(C(H)(C(C(C(H)(C(){7})O(C(H2)(O(){9}))))<9>))<7>)){1}))<3>))<1>;None;C12194;None;None;11-Hydroxyvittatine
C(H2)(C(H2)(N(C(H2)(C(C(H)(C(O(C(H3)))(C(O(C(H3)))(C(H)(C(C(C(H)(C(H)(C(H2)(C(H2)(C(H)(){3,11}))O(){12}))<12>)<11>{1}){5})))))<5>))<3>))<1>;None;C12195;None;None;Zephyramine
###############################################################################################################################################################################################################################################################;None;C12196;None;None;(+--)-Bocconarborine A
###############################################################################################################################################################################################################################################################;None;C12197;None;None;(+--)-Bocconarborine B
C(H2)(O(C(C(H)(C(C(C(H)(C(H)(C(C(C(H)(C(H)(C(C(C(C(HC(H2C(H2O(H))))(N(C(H3))(C(){5,9}))){10}O(C(H2)(O(){13}))))<13>)))<10>)<9>))C(H)(C(O(){1}){3})))<5>))<3>))<1>;None;C12198;None;None;6-(2-Hydroxyethyl)-5,6-dihydrosanguinarine
C(H2)(O(C(C(H)(C(C(C(H)(C(O(){1}){3})C(H)(N(C(C(H2)(C(HO(C(H3)))(C(H)(C(H)(C(){5,9})))))<9>))))<5>))<3>))<1>;None;C12199;None;None;3-Methoxy-8,9-methylenedioxy-3,4-dihydrophenanthridine|3-Methoxy-3,4-dihydro-[1,3]-dioxolo-[4,5-j]-phenanthridine
C(H2)(O(C(C(H)(C(C(C(H)(C(H)(C(C(C(H)(C(H)(C(O(C(H3)))(C(O(C(H3)))(C(C(HC(H2C(OC(H3))))(N(C(H3))(C(){5,9}))){10})))))<10>)<9>))C(H)(C(O(){1}){3})))<5>))<3>))<1>;None;C12200;None;None;(+--)-6-Acetonyldihydrochelerythrine|6-Acetonyl-5,6-dihydrochelerythrine
C(H2)(O(C(C(H)(C(C(C(H)(C(H)(C(C(C(H)(C(H)(C(C(C(C(HC(H2C(OC(H3))))(N(C(H3))(C(){5,9}))){10}O(C(H2)(O(){13}))))<13>)))<10>)<9>))C(H)(C(O(){1}){3})))<5>))<3>))<1>;None;C12201;None;None;(+--)-6-Acetonyldihydrosanguinarine|6-Acetonyl-5,6-dihydrosanguinarine
C(H2)(C(HC(H2C(H3)))(C(HO(H))(C(HO(C(H3)))(C(HO(H))(C(H2)(C(O)(O(C(HC(H3))(C(H2)(C(H)(C(H)(C(H)(C(H)(C(O)(C(HC(H3))(){1})))))))))))))))<1>;52212-94-9;C12202;None;None;Platenolide A|PlatenolideI
C(H)(C(C(HC(HC(S(CoA)O))))(C(H)(C(O(H))(C(O(H))(C(O(C(H3)))(){1})))))<1>;59862-14-5;C12203;None;None;5-Hydroxyferuloyl-CoA
C(H)(C(C(HC(HC(HO))))(C(H)(C(O(H))(C(O(H))(C(O(C(H3)))(){1})))))<1>;249647-14-1;C12204;None;None;5-Hydroxyconiferaldehyde
C(H)(C(C(HC(HC(H2O(H)))))(C(H)(C(O(H))(C(O(H))(C(O(C(H3)))(){1})))))<1>;1782-47-4;C12205;None;None;5-Hydroxyconiferyl alcohol
C(H)(C(H)(C(O(H))(C(O(H))(C(H)(C(C(HC(HC(H2O(H)))))(){1})))))<1>;None;C12206;None;None;Caffeyl alcohol
C(H2)(C(H)(C(HO(H))(C(HO(H))(C(H2)(C(O(H)C(O(H)O))(){1})))O(C(O)(C(H)(C(H)(C(C(H)(C(H)(C(O(H))(C(H)(C(H)(){7})))))<7>))))))<1>;None;C12208;None;None;p-Coumaroyl quinic acid
C(H2)(C(H)(C(HO(H))(C(HO(H))(C(H2)(C(O(H)C(O(H)O))(){1})))O(C(O)(C(H)(C(H)(C(C(H)(C(H)(C(O(H))(C(O(H))(C(H)(){7})))))<7>))))))<1>;202650-88-2;C12209;None;None;Caffeoyl quinic acid
C(H2)(C(H)(C(HO(H))(C(HO(H))(C(H)(N(C(H)(C(H)(C(O)(N(H)(C(O)(){6})))))<6>O(){2}))))<2>O(P(O(H)O)(O(P(O(H)O)(O(C(H)(C(HO(H))(C(O)(C(HO(H))(C(HC(H2O(H)))(O(){7})))))<7>))))));None;C12210;None;None;UDP-3-ketoglucose|UDP-3-keto-D-glucose
C(H2)(C(H)(C(HO(H))(C(HO(H))(C(H)(N(C(H)(C(H)(C(O)(N(H)(C(O)(){6})))))<6>O(){2}))))<2>O(P(O(H)O)(O(P(O(H)O)(O(C(H)(C(HO(H))(C(HN(H2))(C(HO(H))(C(HC(H2O(H)))(O(){7})))))<7>))))));None;C12211;None;None;UDP-kanosamine|UDP-D-kanosamine
C(HC(H2O(H)))(C(HO(H))(C(HN(H2))(C(HO(H))(C(HO(H))(O(){1})))))<1>;None;C12212;None;None;Kanosamine|D-Kanosamine
C(HC(H2O(P(O(H)O(H)O))))(C(HO(H))(C(HN(H2))(C(HO(H))(C(HO(H))(O(){1})))))<1>;None;C12213;None;None;Kanosamine 6-phosphate|D-Kanosamine6-phosphate
C(HC(H2O(P(O(H)O(H)O))))(C(HO(H))(C(HN(H2))(C(O(H)C(H2O(H)))(O(){1}))))<1>;None;C12214;None;None;Aminofructose 6-phosphate|Amino-D-fructose6-phosphate
(C(H2O(P(O(H)O(H)O)))C(HO(H)C(HO(H)C(HN(H)))));None;C12215;None;None;Iminoerythrose 4-phosphate|Imino-D-erythrose4-phosphate
###############################################################################################################################################################################################################################################################;26769-11-9;C12216;None;None;Mycobactin S
Fe(C(N)C(N)C(N));5683-74-9;C12217;None;None;Fe(CN)3|Ferriccyanide|Ironcyanide (Fe(CN)3)
Fe(C(N)C(N));None;C12218;None;None;Fe(CN)2|Ironcyanide (Fe(CN)2)
###############################################################################################################################################################################################################################################################;95536-41-7;C12219;None;None;Corynebactin|Bacillibactin
C(H2)(C(H2)(C(H2)(N(H)(C(O)(C(C(H)(C(H)(C(H)(C(O(H))(C(O(H))(){6})))))<6>))))C(H2)(C(HC(H2O(H)))(N(H)(C(O)(C(C(H)(C(H)(C(H)(C(O(H))(C(O(H))(){6})))))<6>)))));120243-02-9;C12220;None;None;Myxochelin A
C(H2)(C(H2)(C(H2)(N(H)(C(O)(C(C(H)(C(H)(C(H)(C(O(H))(C(O(H))(){6})))))<6>))))C(H2)(C(HC(H2N(H2)))(N(H)(C(O)(C(C(H)(C(H)(C(H)(C(O(H))(C(O(H))(){6})))))<6>)))));None;C12221;None;None;Myxochelin B
C(H2)(O(C(C(H)(C(C(C(H)(C(H)(C(C(C(H)(C(H)(C(C(C(C(O)(N(C(H3))(C(){5,9}))){10}O(C(H2)(O(){13}))))<13>)))<10>)<9>))C(H)(C(O(){1}){3})))<5>))<3>))<1>;548-30-1;C12222;None;None;Hydroxysanguinarine
C(HC(H2C(O(H)O)))(C(C(C(H)(C(H)(C(O(C(H3)))(C(O(C(H3)))(){2})))C(C(H)(C(H)(C(C(H)(C(O(C(H3)))(C(O(C(H3)))(C(H)(C(C(N(C(H3))(){1}){4}){7})))))<7>)))<4>))<2>)<1>;None;C12223;None;None;N-Methyl-2,3,7,8-tetramethoxy-5,6-dihydrobenzophenathridine-6-
C(H)(C(H)(C(C(C(H)(C(H)(C(O(C(H3)))(C(O(C(H3)))(C(C(O)(N(C(H3))(C(C(C(H)(C(O(C(H3)))(C(O(C(H3)))(C(H)(C(){1,13})))))<13>){3}))){4})))))<4>)<3>))<1>;None;C12224;None;None;N-Methyl-2,3,7,8-tetramethoxybenzophenanthridine-6(5H)-one
C(H2)(O(C(C(H)(C(C(C(H)(C(H)(C(C(C(H)(C(H)(C(O(C(H3)))(C(O(C(H3)))(C(C(O)(N(C(H3))(C(){5,9}))){10})))))<10>)<9>))C(H)(C(O(){1}){3})))<5>))<3>))<1>;28342-33-8;C12225;None;None;6-Oxochelerythrine|Oxychelerythrine
C(H2)(O(C(C(H)(C(C(C(H)(C(H)(C(C(C(H)(C(H)(C(O(C(H3)))(C(O(C(H3)))(C(C(H)(N(C(){5,9}))){10})))))<10>)<9>))C(H)(C(O(){1}){3})))<5>))<3>))<1>;6900-99-8;C12226;None;None;Norchelerythrine
C(H2)(O(C(C(H)(C(C(C(H)(C(H)(C(C(C(H)(C(H)(C(O(C(H3)))(C(O(C(H3)))(C(C(H)(N[+1](C(H3))(C(){5,9}))){10})))))<10>)<9>))C(H)(C(O(){1}){3})))<5>))<3>))<1>;34316-15-9;C12227;None;None;Chelerythrine
C(H)(C(H)(C(C(C(C(H)(N[+1](C(H3))(C(C(C(H)(C(O(C(H3)))(C(O(C(H3)))(C(H)(C(){1,9})))))<9>){3}))C(O(C(H3)))(C(O(C(H3)))(C(H)(C(O(C(H3)))(){4})))))<4>)<3>))<1>;None;C12228;None;None;Sanguilutine
C(H2)(O(C(C(H)(C(C(C(H)(C(H)(C(C(C(C(H)(N[+1](C(H3))(C(){5,9}))C(O(C(H3)))(C(O(C(H3)))(C(H)(C(O(C(H3)))(){10})))))<10>)<9>))C(H)(C(O(){1}){3})))<5>))<3>))<1>;None;C12229;None;None;Chelilutine
C(H2)(O(C(C(H)(C(O(C(H3)))(C(C(C(H)(N[+1](C(H3))(C(C(C(H)(C(H)(C(C(H)(C(O(C(H3)))(C(O(C(H3)))(C(H)(C(){10,14})))))<14>))){6})<10>))C(O(){1}){3}))<6>)))<3>))<1>;None;C12230;None;None;Sanguirubine
C(H2)(C(H2)(N(H)(C(H2)(C(C(H)(C(H)(C(O(C(H3)))(C(C(C(C(H)(C(H2)(C(HO(H))(C(H)(C(H)(){11})))O(){9}))<11>{1}){5})<9>))))<5>))))<1>;None;C12231;None;None;Epinorgalanthamine
C(H2)(C(H2)(N(C(H3))(C(H2)(C(C(H)(C(H)(C(O(H))(C(C(C(C(H)(C(H2)(C(HO(H))(C(H)(C(H)(){11})))O(){9}))<11>{1}){5})<9>))))<5>))))<1>;None;C12232;None;None;Sanguinine
C(H2)(C(H2)(C(C(H2)(C(H2)(N(C(H3))(C(H2)(C(C(H)(C(H)(C(O(C(H3)))(C(C(){3,8}O(C(H)(C(H2)(C(HO(H))(){1}))))))))<8>)))))<3>))<1>;None;C12233;None;None;Lycoramine|1,2-Dihydrogalanthamine
C(H2)(C(H2)(C(C(H2)(C(H2)(N(H)(C(H2)(C(C(H)(C(H)(C(O(C(H3)))(C(C(){3,8}O(C(H)(C(H2)(C(HO(H))(){1}))))))))<8>)))))<3>))<1>;None;C12234;None;None;Epinorlycoramine
C(H2)(C(H2)(N(C(H2)(C(C(H)(C(O(C(H3)))(C(O(C(H3)))(C(H)(C(C(C(H)(C(H)(C(H)(C(C(){3,11}){1}))))<11>){5})))))<5>))<3>))<1>;None;C12235;None;None;Assoanine
C(H2)(C(H2)(N(C(C(C(H)(C(H)(C(H)(C(C(C(H)(C(O(C(H3)))(C(O(C(H3)))(C(H)(C(C(O)(){3}){10})))))<10>){4})))){1})<4>)<3>))<1>;None;C12236;None;None;Oxoassoanine|Dihydropratosine
C(H2)(C(H2)(N(C(H2)(C(C(H)(C(O(C(H3)))(C(O(H))(C(H)(C(C(H)(C(H)(C(C(H)(C(HO(C(OC(H3))))(C(HO(H))(){11}))){1}){3})<11>){5})))))<5>))<3>))<1>;None;C12237;None;None;2-O-Acetylpseudolycorine
C(H2)(C(H2)(N(C(H)(C(H2)(C(HO(C(H3)))(C(H)(C(H)(C(C(C(H)(C(O(C(H3)))(C(O(C(H3)))(C(H)(C(C(HO(H))(){3}){10})))))<10>){1,4})))))<4>)<3>))<1>;None;C12238;None;None;Papyramine
C(H2)(C(H2)(N(C(H3))(C(H)(C(H)(C(H)(C(HO(H))(C(H)(C(){1,4}))O(C(O)(C(C(H)(C(O(C(H3)))(C(O(H))(C(H)(C(){5,9})))))<9>))))<5>)<4>)))<1>;None;C12239;None;None;9-O-Demethyl-2alpha-hydroxyhomolycorine
C(H2)(C(H2)(N(C(H3))(C(H)(C(H)(C(H)(C(HO(C(OC(H3))))(C(H)(C(){1,4}))O(C(O)(C(C(H)(C(O(C(H3)))(C(O(C(OC(H2C(HO(H)C(H3))))))(C(H)(C(){5,9})))))<9>))))<5>)<4>)))<1>;None;C12240;None;None;Dubiusine
C(H2)(C(H2)(N(C(H3))(C(H)(C(H)(C(H)(C(H2)(C(H)(C(){1,4}))O(C(HO(C(H3)))(C(C(H)(C(O(C(H3)))(C(O(C(H3)))(C(H)(C(){5,9})))))<9>))))<5>)<4>)))<1>;None;C12241;None;None;O-Methyllycorenine
C(H2)(O(C(C(H)(C(C(H)(C(H)(C(HO(H))(C(H2)(C(C(H)(C(O(){1}){3})){5}))C(C(H)(C(H)(C(C(C(C(H2)(N(C(H3))(){6})){8}O(C(H2)(O(){11}))))<11>)))<8>))<6>)<5>))<3>))<1>;476-32-4;C12242;None;None;Chelidonine
C(H2)(C(H2)(N(C(H2)(C(C(H)(C(C(C(H)(C(C(H)(C(H2)(C(H2)(C(H2)(C(H)(C(H)(){3,11}){1}))))<11>){5})O(C(H2)(O(){7}))))<7>))<5>))<3>))<1>;None;C12243;None;None;(+--)-gamma-Lycorane
C(H2C(HC(H2))C(H2N(H2)));None;C12244;None;None;3-Buten-1-amine
C(C(O(C(H3))O))(N(N(C(N(HC(H2C(H2C(HC(H2))))))(O(){1}))))<1>;None;C12245;None;None;Methyl5-(but-3-en-1-yl)amino-1,3,4-oxadiazole-2-carboxylate
C(HC(H2O(H)))(C(HO(H))(C(HC(H3))(C(HO(H))(C(HC(H3))(C(HO(H))(C(HC(H3))(C(HO(H))(C(HC(H3))(C(H)(C(H)(C(H)(C(C(H3))(C(O)(N(H)(C(C(H)(C(O)(C(C(C(H)(C(C(H3))(C(O(H))(C(C(O)(C(C(H3))(C(H)(){1}))){19})))C(O)(){16}))<19>)))<16>)))))))))))))))<1>;None;C12246;None;None;Protorifamycin I
C(HC(H2O(H)))(C(HO(H))(C(HC(H3))(C(HO(H))(C(HC(H3))(C(HO(H))(C(HC(H3))(C(HO(H))(C(HC(H3))(C(H)(C(H)(C(H)(C(C(H3))(C(O)(N(H)(C(C(H)(C(O)(C(C(C(O(H))(C(C(H3))(C(O(H))(C(C(O)(){16}){19})))C(O)(C(C(H3))(C(H)(){1}))))<19>)))<16>)))))))))))))))<1>;None;C12247;None;None;Rifamycin W
C(O(H)C(O(H)O))(C(N(HC(ON(H2))))(N(C(O)(N(H)(){1}))))<1>;None;C12248;None;None;5-Hydroxy-2-oxo-4-ureido-2,5-dihydro-1H-imidazole-5-carboxylate
C(H)(C(HO(H))(C(HO(H))(C(HO(H))(C(HC(H2O(H)))(O(){1}))))O(C(C(C(C(H)(C(H)(C(O(H))(C(H)(C(H)(){5})))))<5>O(C(C(H)(C(O(H))(C(H)(C(O(H))(C(C(O)(){3}){6})))))<6>)))<3>))<1>;None;C12249;None;None;Kaempferol 3-O-glucoside
C(H2)(C(H2)(N(C(C(C(H)(C(H)(C(H)(C(C(C(H)(C(C(C(H)(C(C(O)(){3}){10})O(C(H2)(O(){12}))))<12>))<10>){4})))){1})<4>)<3>))<1>;None;C12250;None;None;Anhydrolycorinone
C(H)(C(H)(C(I)(C(O(H))(C(O(C(H3)))(C(H)(){1})))))<1>;None;C12251;None;None;2-Iodo-6-methoxyphenol
C(H2)(C(H2)(N(C(H3))(C(O)(C(C(H)(C(O(H))(C(O(C(H3)))(C(H)(C(Br)(){5})))))<5>)))C(C(H)(C(H)(C(O(H))(C(H)(C(H)(){2})))))<2>);None;C12252;None;None;2-Bromo-5-hydroxy-N-[2-(4-hydroxyphenyl)ethyl]-4-methoxy-N-
C(H2)(C(H2)(N(H)(C(H2)(C(C(H)(C(H)(C(O(H))(C(C(C(C(H)(C(H2)(C(HO(H))(C(H)(C(H)(){11})))O(){9}))<11>{1}){5})<9>))))<5>))))<1>;None;C12253;None;None;Norsanguinine
C(H2)(C(H2)(N(C(H)(C(C(H)(C(H2)(C(HO(C(H3)))(C(H)(C(H)(){5})))N(C(H3))(C(O)(){4}))C(C(H)(C(C(C(H)(C(C(O)(){3}){6})O(C(H2)(O(){8}))))<8>))<6>)<5>)<4>)<3>)C(C(H)(C(H)(C(O(H))(C(H)(C(H)(){2})))))<2>);None;C12254;None;None;(+)-Plicamine
C(H2)(O(C(C(H)(C(C(H)(C(H)(C(HO(H))(C(HO(H))(C(HO(H))(C(HO(H))(){6})))N(H)(C(O)(C(C(H)(C(O(){1}){3})){5}))))<6>)<5>))<3>))<1>;None;C12255;None;None;7-Deoxypancratistatin
C(H2)(O(C(C(H)(C(C(H)(C(H)(C(HO(H))(C(HO(H))(C(H2)(C(HO(H))(){6})))N(H)(C(O)(C(C(H)(C(O(){1}){3})){5}))))<6>)<5>))<3>))<1>;None;C12256;None;None;(+)-2,7-Dideoxypancratistatin
C(H2)(O(C(C(H)(C(C(H)(C(H)(C(HO(H))(C(H2)(C(C(H)(C(O(){1}){3})){5}))C(C(H)(C(H)(C(O(C(H3)))(C(O(C(H3)))(C(C(H2)(N(C(H3))(){6})){8})))))<8>))<6>)<5>))<3>))<1>;476-33-5;C12257;None;None;(+--)-Homochelidonine
C(H2)(O(C(C(H)(C(C(C(H)(C(H)(C(C(C(H)(C(H)(C(O(C(H3)))(C(O(C(H3)))(C(C(O)(O(){9})){10})))))<10>C(O)(){5})<9>))C(H)(C(O(){1}){3})))<5>))<3>))<1>;None;C12258;None;None;Arnottin II
C(H2)(C(H2)(N(C(H3))(C(H)(C(C(H2)(C(H2)(C(C(C(H)(C(H)(C(H)(N(){8})))){4})<8>))C(C(H)(C(H)(C(O(C(H3)))(C(O(C(H3)))(C(H)(){6})))))<6>){1})<4>)))<1>;None;C12259;None;None;(+)-Sceletium A4
C(H2)(C(H2)(C(C(C(H2)(C(C(H2C(H2N(HC(H3)))))(C(C(H)(C(H)(C(O(C(H3)))(C(O(C(H3)))(C(H)(){7})))))<7>){1})C(H)(C(H)(C(H)(N(){3})))))<3>))<1>;None;C12260;None;None;(-)-Tortuosamine|Tortuosamine
C(H2)(C(HO(Si[+3](C(H3)C(H3)C(C(H3)C(H3)C(H3)))))(C(H)(C(H)(C(O)(){1}O(C(C(H3)C(H3))(O(){3}))))<3>))<1>;None;C12261;None;None;2,3,4-Trioxycyclopentanone
C(H2)(C(H2)(C(O)(C(H)(C(H)(C(C(H2C(H2N(C(O(C(H3))O)C(H3)))))(C(C(H)(C(H)(C(O(C(H3)))(C(O(C(H3)))(C(H)(){7})))))<7>){1})))))<1>;None;C12262;None;None;4,4-Disubstituted cyclohexenone
C(H)(C(H)(C(O(C(H3)))(C(O(C(H3)))(C(H)(C(C(HC(HO(C(H2C(HC(H2)))))))(){1})))))<1>;None;C12263;None;None;1,2-Dimethoxy-4-[2-(2-propenyloxy)ethenyl]-benzene
C(H2)(O(C(C(H)(C(C(HC(HO(C(H3)))))(C(C(O(H)O))(C(H)(C(O(){1}){3})))))<3>))<1>;None;C12264;None;None;6-(2-Methoxyvinyl)benzo[1,3]dioxole-5-carboxylic acid
###############################################################################################################################################################################################################################################################;None;C12265;None;None;Lichenysin D
###############################################################################################################################################################################################################################################################;52229-90-0;C12266;None;None;Iturin A
###############################################################################################################################################################################################################################################################;76012-17-4;C12267;None;None;Bacillomycin D
###############################################################################################################################################################################################################################################################;11140-67-3;C12268;None;None;Syringomycin
(C(H2C(O(H)O))C(HN(HC(H3))C(O(H)O)));None;C12269;None;None;N-Methyl-D-aspartic acid|N-Methyl-D-aspartate|NMDA
N(HC(OC(HN(HC(OC(H3)))C(H2C(O(H)O))))C(HC(O(H)O)C(H2C(H2C(O(H)O)))));3106-85-2;C12270;None;None;N-Acetyl-aspartyl-glutamate|NAAG
C(H)(C(H)(C(O(H))(C(O(H))(C(H)(C(C(H2C(H2N(HC(OC(H2C(H2C(H2C(HC(HC(H2C(HC(HC(H2C(HC(HC(H2C(HC(HC(H2C(H2C(H2C(H2C(H3))))))))))))))))))))))))(){1})))))<1>;None;C12271;None;None;Arachidonoyl dopamine
C(H)(C(H)(C(O(H))(C(O(H))(C(H)(C(C(H2C(H2N(HC(OC(H2C(H2C(H2C(H2C(H2C(H2C(H2C(HC(HC(H2C(H2C(H2C(H2C(H2C(H2C(H2C(H3))))))))))))))))))))))(){1})))))<1>;None;C12272;None;None;N-Oleoyl dopamine
(((C(HO(H)C(HO(H)C(H2O(H))))C(HO(H)C(HO(H)C(O(H)O))))C(HO(H)C(HO(H)C(O(H)O))))C(HO(H)C(HO(H)C(H2O(H)))));299-29-6;C12274;None;None;Ferrous gluconate
None;;C12275;None;None;C12275|Transferred to D01081|
None;;C12276;None;None;C12276|Transferred to D01082|
Ca[+1](O(H)O(H));1305-62-0;C12277;None;None;Calcium hydroxide
(((C(HO(H)C(HO(H)C(H2O(H))))C(HO(H)C(HO(H)C(O(H)O))))C(HO(H)C(HO(H)C(O(H)O))))C(HO(H)C(HO(H)C(H2O(H)))));527-09-3;C12278;None;None;Copper gluconate
S(O(H)O(H)OO);7758-98-7;C12279;None;None;Cupric sulfate
(C(H2C(H2C(H2C(H2C(H2C(H2C(H2C(O(C(H3))O))))))))C(HC(HC(H2C(HO(C(OC(H3)))C(H2C(H2C(H2C(H2C(H2C(H3)))))))))));140-03-4;C12280;None;None;Methyl acetyl ricinoleate
None;;C12281;None;None;C12281|Transferred to D01084|
(C(HC(H2*)*)O(C(OC(H3))));9003-20-7;C12282;None;None;Polyvinyl acetate
None;;C12283;None;None;C12283|Transferred to D01085|
C(H)(C(H)(C(H)(C(C(C(H)(){1}S(OO)(N(Na)(C(O)(){4}))))<4>)))<1>;128-44-9;C12284;None;None;Saccharin sodium anhydrous
C(H)(C(HO(H))(C(HO(H))(C(HCl)(C(HC(H2O(H)))(O(){1}))))O(C(C(H2Cl))(C(HO(H))(C(HO(H))(C(HC(H2Cl))(O(){3}))))<3>))<1>;56038-13-2;C12285;None;None;Sucralose
C(H2)(C(H2)(C(H)(C(C(H3))(C(HC(HC(HC(OC(H3)))))(C(C(H3)C(H3))(){1})))))<1>;127-41-3;C12286;None;None;alpha-Ionone
C(H2)(C(H2)(C(C(H3)C(H3))(C(C(HC(HC(OC(H3)))))(C(C(H3))(C(H2)(){1})))))<1>;79-77-6;C12287;None;None;beta-Ionone
C(H)(C(H)(C(H)(C(C(HC(C(HO)C(H2C(H2C(H2C(H2C(H3))))))))(C(H)(C(H)(){1})))))<1>;122-40-7;C12288;None;None;alpha-Amylcinnamaldehyde|alpha-Pentylcinnamaldehyde
O(C(OC(H2C(HC(H3)C(H3))))C(H2C(H2C(HC(H3)C(H3)))));659-70-1;C12289;None;None;Isoamyl isovalerate
C(O(C(H2C(H3)))OC(H2C(HC(H3)C(H3))));108-64-5;C12290;None;None;Ethyl isovalerate
None;;C12291;None;None;C12291|Transferred to D01086|
C(H2C(H2C(O(C(H2C(H3)))O))C(H2C(H2C(H2C(H2C(H3))))));106-32-1;C12292;None;None;Ethyl octanoate|Ethylcaprylate
C(H2O(C(HO))C(H2C(HC(H3)C(H3))));110-45-2;C12293;None;None;Isoamyl formate
C(C(HC(H2O(C(HO))))C(H3)C(H2C(H2C(HC(C(H3)C(H3))))));105-86-2;C12294;None;None;Geranyl formate
C(HC(H3)C(H2C(H2O(C(HO))))C(H2C(H2C(HC(C(H3)C(H3))))));105-85-1;C12295;None;None;Citronellyl formate
C(H2O(C(OC(H3)))C(H2C(HC(H3)C(H3))));123-92-2;C12296;None;None;Isoamyl acetate
C(H2)(C(H2)(C(H2)(C(HO(C(OC(H3))))(C(H2)(C(H2)(){1})))))<1>;622-45-7;C12297;None;None;Cyclohexyl acetate
C(HC(H3)C(H2C(H2O(C(OC(H3)))))C(H2C(H2C(HC(C(H3)C(H3))))));150-84-5;C12298;None;None;Citronellyl acetate|3,7-Dimethyl-6-octen-1-ylacetate
C(H)(C(H)(C(H)(C(C(HC(HC(H2O(C(OC(H3)))))))(C(H)(C(H)(){1})))))<1>;103-54-8;C12299;None;None;Cinnamyl acetate|3-Phenyl-2-propenylacetate
C(H2)(C(H2)(C(C(H3))(C(H)(C(H2)(C(HC(O(C(OC(H3)))C(H3)C(H3)))(){1})))))<1>;80-26-2;C12300;None;None;alpha-Terpinyl acetate|p-Menth-1-en-8-ylacetate
C(H2)(C(H2)(C(O(C(OC(H3)))C(H3))(C(H2)(C(H2)(C(HC(C(H3)C(H2)))(){1})))))<1>;None;C12301;None;None;beta-Terpinyl acetate
C(H2)(C(H2)(C(C(C(H3)C(H3)))(C(H2)(C(H2)(C(O(C(OC(H3)))C(H3))(){1})))))<1>;None;C12302;None;None;gamma-Terpinyl acetate|p-Menth-4-en-1-ylacetate
C(H)(C(H)(C(H)(C(C(H2C(H2O(C(OC(H3))))))(C(H)(C(H)(){1})))))<1>;103-45-7;C12303;None;None;Phenethyl acetate|2-Phenylethylacetate
C(H2O(C(OC(H3)))C(H2C(H2C(H3))));123-86-4;C12304;None;None;Butyl acetate
C(H)(C(H)(C(H)(C(O(H))(C(C(O(C(H3))O))(C(H)(){1})))))<1>;119-36-8;C12305;None;None;Methyl salicylate|Methyl2-hydroxybenzoate
C(H2)(C(H2)(C(H2)(C(HC(H2C(H2C(O(C(H2C(HC(H2))))O))))(C(H2)(C(H2)(){1})))))<1>;2705-87-5;C12306;None;None;Allyl cyclohexylpropionate|2-Propenyl3-cyclohexylpropanoate
C(H2C(H2C(H2C(H2C(HO))))C(H2C(H2C(H2C(H2C(H3))))));112-31-2;C12307;None;None;Decanal|1-Decanal
C(H2)(C(C(H2)(C(C(H2))(C(O(H))(C(H2)(C(H2)(C(H)(C(C(H2)(C(H2)(C(H2)(C(C(H3))(C(H)(C(HC(O(H)O))()){9}C(O)(O(C(H2)())))))))<9>){2}))){1})))<2>)<1>;None;C12308;None;None;Gibberellin A44|Gibberellin44
C(HC(H3))(C(C(H)(C(H)(C(H)(C(C(N(C(C(H)(C(H)(C(H)(C(C(O(H)O))(C(N(H)(){6}){9})))))<9>C(C(H)(C(C(O(H)O))(C(C(C(){1,9}N(C(C(C(H)(C(H)(C(H)(C(C(HO(R)C(H3)))(){15})))N(){12}))<15>)))<12>)))<9>)){2})<6>))))<2>)<1>;None;C12309;None;None;Esmeraldin A
